 Name                       Version      License                               URL                                                                  
 requests                   2.32.3        Apache 2.0              https://pypi.org/project/requests/
 Jinja2						3.1.4         BSD License             https://pypi.org/project/Jinja2/
 psycopg2-binary			2.9.0		  LGPL with exceptions		https://pypi.org/project/psycopg2-binary/
 yoyo-migrations			8.2.0		  Apache					https://pypi.org/project/yoyo-migrations/
 aws-lambda-powertools		2.37.0		  MIT License				https://pypi.org/project/aws-lambda-powertools/
 aws-xray-sdk				2.13.0		  Apache 2.0				https://docs.aws.amazon.com/xray/latest/devguide/xray-sdk-python.html
 pydantic					2.7.1         MIT SPDX					https://pypi.org/project/pydantic/
 feedparser					6.0.11		  BSD License				https://pypi.org/project/feedparser/
 typing-extensions			4.11.0		  PSF-2.0					https://pypi.org/project/typing-extensions/
 lxml						5.0.1         BSD-3-Clause				https://pypi.org/project/lxml/
 newspaper4k[all]			0.9.3.1 	  MIT SPDX					https://pypi.org/project/newspaper4k/
